University,Department,Name,Position,Link,Email,Research Focus
Berkeley,Dept of Bioengineering,Jay D. Keasling,,https://vcresearch.berkeley.edu/faculty/jay-keasling,,
Berkeley,Dept of Bioengineering,Tony M. Keaveny,,https://vcresearch.berkeley.edu/faculty/tony-m-keaveny,,
Berkeley,Division of Electrical Engineering (EECS),Kurt Keutzer,,https://vcresearch.berkeley.edu/faculty/kurt-keutzer,,
Berkeley,Division of Electrical Engineering (EECS),Preeya Khanna,,https://vcresearch.berkeley.edu/faculty/preeya-khanna,,
Berkeley,Dept of Mechanical Engineering,Kyriakos Komvopoulos,,https://vcresearch.berkeley.edu/faculty/kyriakos-komvopoulos,,
Berkeley,Dept of Civil and Environmental Engineering,Dimitrios Konstantinidis,,https://vcresearch.berkeley.edu/faculty/dimitrios-konstantinidis,,
Berkeley,Dept of Chemical & Biomolecular Engineering,Aditi Krishnapriyan,,https://vcresearch.berkeley.edu/faculty/aditi-krishnapriyan,,
Berkeley,Dept of Bioengineering,Sanjay Kumar,,https://vcresearch.berkeley.edu/faculty/sanjay-kumar,,
Berkeley,Dept of Bioengineering,Liana Lareau,,https://vcresearch.berkeley.edu/faculty/liana-lareau,,
Berkeley,Dept of Civil and Environmental Engineering,Laurel Larsen,,https://vcresearch.berkeley.edu/faculty/laurel-larsen,,
Berkeley,Dept of Industrial Engineering & Operations Research,Javad Lavaei,,https://vcresearch.berkeley.edu/faculty/javad-lavaei,,
Berkeley,Dept of Industrial Engineering & Operations Research,Robert C. Leachman,,https://vcresearch.berkeley.edu/faculty/robert-c-leachman,,
Berkeley,Division of Electrical Engineering (EECS),Edward A. Lee,,https://vcresearch.berkeley.edu/faculty/edward-lee,,
Berkeley,Dept of Bioengineering,Seung-Wuk Lee,,https://vcresearch.berkeley.edu/faculty/seung-wuk-lee,,
Berkeley,Dept of Mechanical Engineering,George Leitmann,,https://vcresearch.berkeley.edu/faculty/george-leitmann,,
Berkeley,Dept of Civil and Environmental Engineering,Shaofan Li,,https://vcresearch.berkeley.edu/faculty/shaofan-li,,
Berkeley,Dept of Bioengineering,Dorian Liepmann,,https://vcresearch.berkeley.edu/faculty/dorian-liepmann,,
Berkeley,Dept of Mechanical Engineering,Liwei Lin,,https://vcresearch.berkeley.edu/faculty/liwei-lin,,
Berkeley,Division of Electrical Engineering (EECS),Chunlei Liu,,https://vcresearch.berkeley.edu/faculty/chunlei-liu,,
Berkeley,Division of Electrical Engineering (EECS),Tsu-Jae Liu,,https://vcresearch.berkeley.edu/faculty/tsu-jae-liu,,
Berkeley,Dept of Chemical & Biomolecular Engineering,Jeffrey R. Long,,https://vcresearch.berkeley.edu/faculty/jeffrey-long,,
Berkeley,Dept of Mechanical Engineering,Fai Ma,,https://vcresearch.berkeley.edu/faculty/fai-ma,,
Berkeley,Dept of Chemical & Biomolecular Engineering,Roya Maboudian,,https://vcresearch.berkeley.edu/faculty/roya-maboudian,,
Berkeley,Division of Electrical Engineering (EECS),Michel Maharbiz,,https://vcresearch.berkeley.edu/faculty/michel-maharbiz,,
Berkeley,Dept of Mechanical Engineering,Simo Mäkiharju,,https://vcresearch.berkeley.edu/faculty/simo-makiharju,,
Berkeley,Dept of Chemical & Biomolecular Engineering,Kranthi K. Mandadapu,,https://vcresearch.berkeley.edu/faculty/kranthi-mandadapu,,
Berkeley,Dept of Mechanical Engineering,Philip Marcus,,https://vcresearch.berkeley.edu/faculty/philip-marcus,,
Berkeley,Dept of Bioengineering,Gerard Marriott,,https://vcresearch.berkeley.edu/faculty/gerard-marriott,,
Berkeley,Dept of Materials Science and Engineering,Lane W. Martin,,https://vcresearch.berkeley.edu/faculty/lane-w-martin,,
Berkeley,Dept of Industrial Engineering & Operations Research,Thibaut Mastrolia,,https://vcresearch.berkeley.edu/faculty/thibaut-mastrolia,,
Berkeley,Dept of Chemical & Biomolecular Engineering,Bryan D. McCloskey,,https://vcresearch.berkeley.edu/faculty/bryan-mccloskey,,
Berkeley,Dept of Mechanical Engineering,Sara McMains,,https://vcresearch.berkeley.edu/faculty/sara-mcmains,,
Berkeley,Dept of Mechanical Engineering,Negar Mehr,,https://vcresearch.berkeley.edu/faculty/negar-mehr,,
Berkeley,Dept of Chemical & Biomolecular Engineering,Ali Mesbah,,https://vcresearch.berkeley.edu/faculty/ali-mesbah,,
Berkeley,Dept of Bioengineering,Phillip Messersmith,,https://vcresearch.berkeley.edu/faculty/phillip-messersmith,,
Berkeley,Dept of Civil and Environmental Engineering,Baoxia Mi,,https://vcresearch.berkeley.edu/faculty/baoxia-mi,,
Berkeley,Dept of Materials Science and Engineering,Andrew Minor,,https://vcresearch.berkeley.edu/faculty/andrew-minor,,
Berkeley,Dept of Civil and Environmental Engineering,Jack P. Moehle,,https://vcresearch.berkeley.edu/faculty/jack-p-moehle,,
Berkeley,Dept of Bioengineering,Mohammad Mofrad,,https://vcresearch.berkeley.edu/faculty/mohammad-mofrad,,
Berkeley,Dept of Civil and Environmental Engineering,Paulo J. M. Monteiro,,https://vcresearch.berkeley.edu/faculty/paulo-monteiro,,
Berkeley,Dept of Materials Science and Engineering,"John W. Morris, Jr",,https://vcresearch.berkeley.edu/faculty/john-w-morris-jr,,
Berkeley,Dept of Nuclear Engineering,Edward C. Morse,,https://vcresearch.berkeley.edu/faculty/edward-c-morse,,
Berkeley,Dept of Civil and Environmental Engineering,Khalid M. Mosalam,,https://vcresearch.berkeley.edu/faculty/khalid-mosalam,,
