University,Department,Name,Position,Link,Email,Research Focus
Berkeley,Dept of Molecular & Cell Biology,Diana Bautista,N/A,https://vcresearch.berkeley.edu/faculty/diana-bautista,N/A,N/A
Berkeley,Division of Electrical Engineering (EECS),Alexandre Bayen,N/A,https://vcresearch.berkeley.edu/faculty/alexandre-bayen,N/A,N/A
Berkeley,Dept of Civil and Environmental Engineering,Tracy Becker,N/A,https://vcresearch.berkeley.edu/faculty/tracy-becker,N/A,N/A
Berkeley,Dept of Chemistry,Kwabena Bediako,N/A,https://vcresearch.berkeley.edu/faculty/kwabena-bediako,N/A,N/A
Berkeley,Dept of Integrative Biology,Annaliese Beery,N/A,https://vcresearch.berkeley.edu/faculty/annaliese-beery,N/A,N/A
Berkeley,Dept of Linguistics,Gašper Beguš,N/A,https://vcresearch.berkeley.edu/faculty/gasper-begus,N/A,N/A
Berkeley,Dept of Comparative Literature,Mohamed Wajdi Ben Hammed,N/A,https://vcresearch.berkeley.edu/faculty/mohamed-wajdi-ben-hammed,N/A,N/A
Berkeley,Haas School of Business,Matteo Benetton,N/A,https://vcresearch.berkeley.edu/faculty/matteo-benetton,N/A,N/A
Berkeley,Dept of Middle Eastern Languages & Cultures,Adam Benkato,N/A,https://vcresearch.berkeley.edu/faculty/adam-benkato,N/A,N/A
Berkeley,Dept of Integrative Biology,George Bentley,N/A,https://vcresearch.berkeley.edu/faculty/george-bentley,N/A,N/A
Berkeley,Dept of Mathematics,George M. Bergman,N/A,https://vcresearch.berkeley.edu/faculty/george-m-bergman,N/A,N/A
Berkeley,Dept of Chemistry,Robert G. Bergman,N/A,https://vcresearch.berkeley.edu/faculty/robert-g-bergman,N/A,N/A
Berkeley,Dept of Chemistry,Jennifer Bergner,N/A,https://vcresearch.berkeley.edu/faculty/jennifer-bergner,N/A,N/A
Berkeley,Dept of Nuclear Engineering,Lee Bernstein,N/A,https://vcresearch.berkeley.edu/faculty/lee-bernstein,N/A,N/A
Berkeley,School of Social Welfare,Jill Berrick,N/A,https://vcresearch.berkeley.edu/faculty/jill-berrick,N/A,N/A
Berkeley,School of Public Health,Stefano M. Bertozzi,N/A,https://vcresearch.berkeley.edu/faculty/stefano-bertozzi,N/A,N/A
Berkeley,Dept of English,Stephen Best,N/A,https://vcresearch.berkeley.edu/faculty/stephen-best,N/A,N/A
Berkeley,Dept of Molecular & Cell Biology,Eric Betzig,N/A,https://vcresearch.berkeley.edu/faculty/eric-betzig,N/A,N/A
Berkeley,Dept of Political Science,Mark Bevir,N/A,https://vcresearch.berkeley.edu/faculty/mark-bevir,N/A,N/A
Berkeley,School of Law,Eric Biber,N/A,https://vcresearch.berkeley.edu/faculty/eric-biber,N/A,N/A
Berkeley,Dept of Statistics,Peter Bickel,N/A,https://vcresearch.berkeley.edu/faculty/peter-bickel,N/A,N/A
Berkeley,Dept of Molecular & Cell Biology,David Bilder,N/A,https://vcresearch.berkeley.edu/faculty/david-bilder,N/A,N/A
Berkeley,Dept of Ethnic Studies,Thomas Biolsi,N/A,https://vcresearch.berkeley.edu/faculty/thomas-biolsi,N/A,N/A
Berkeley,Dept of Physics,Robert Birgeneau,N/A,https://vcresearch.berkeley.edu/faculty/robert-birgeneau,N/A,N/A
Berkeley,Dept of Earth and Planetary Science,James K. B. Bishop,N/A,https://vcresearch.berkeley.edu/faculty/james-bishop,N/A,N/A
